website_url,having_ip_address,url_length,shortining_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,sslfinal_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,rightclick,popupwindow,iframe,age_of_domain,dnsrecord,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,result
http://1inch-io-app.pages.dev/,1,1,1,1,1,-1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1
https://jamejac.github.io/tariq,1,1,1,1,1,1,1,0,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,0,1,1
https://featuredxanswers.com/,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1
https://dhanushmathan.github.io/Netflix-clone,1,1,1,1,1,1,1,0,-1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,0,1,1
https://indramayupos.com/tag/gs-yuasa/,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
https://www.comune.cornedo.bz.it/system/web/login.aspx?sprache=1&menuonr=225502222&typ=forgotten,1,-1,1,1,1,1,0,0,-1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
https://smithii.io/mint-solana-token/,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1
https://tonerhaz.hu/spl/704178/Neon-etikettek,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,0,1,1,1,1,1
https://3846d.me/author/admin/,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,0,1,1
https://modelesdesites.fr/joomla-templates-type/62154.html,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1
https://eclipse2024.org/communities/city/104244.html,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1
https://assofranchising.it/component/tags/tag/notizie-dai-soci.html,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1
https://www.businesstoday.me/hospitality/celebrate-emirati-womens-day-with-40-per-cent-off-spa-treatments-at-waldorf-astoria-difc/attachment/waldorf-astoria-difc-spa/,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
https://www.free-rentals.com/tanzania/arusha/arusha-jungle-lodge-rental_4733.php,1,-1,1,1,1,-1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1
https://engineeredsalesco.com/krohne-optiwave-7400-c-radar-level-meter/,1,0,1,1,1,1,1,0,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1
https://zemez.io/support/wordpress/knowledge-base/countdown-timer-power-builder-module/,1,-1,1,1,1,1,1,0,1,1,1,1,0,1,0,-1,-1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1
https://www.landoflight.co.uk/photo_16421132.html,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,0,0,1,1,1,1,1,1,-1,1,1,0,1,1,-1,1,1
https://enklapengarjpqe.web.app/83453/85343.html,1,1,1,1,1,1,1,0,-1,1,1,1,0,0,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1
https://www.space.com/milky-way-dark-sky-alqueva-timelapse.html,1,0,1,1,1,1,1,0,1,-1,1,1,-1,0,-1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1
https://www.michiganshoe.com/es/products/search?&size=03.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1
https://rajaundangan.com/percetakan-wedding-invitations-eksklusif-melayani-pengiriman-untuk-seluruh-wilayah-di-tobelo.html,1,-1,1,1,1,1,1,0,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1
https://www.cauvino.cz/white-port-c192/,1,1,1,1,1,1,1,0,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1
https://www.kurz-tux.at/en/tariff-apartment-kurz-tux.html,1,0,1,1,1,-1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,-1,1,0,1,1
https://www.gerflint.fr/synergies-chili/103-pages-synergies/313-synergies-chili-18,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
https://globalcourant.com/tag/physical/,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1
https://www.charika-expert.com/%D0%BA%D0%B0%D0%B7%D0%B8%D0%BD%D0%BE-%D0%B8-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8-%D0%B8-%D0%BB%D0%B5%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%B8%D0%B3%D0%BE%D1%80%D0%BD%D1%8B%D0%B5-%D0%B7%D0%BE/,1,-1,1,1,1,-1,1,0,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1
https://unserdj.odoo.com/vermietung,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1
https://okutech.pl/dlugosc-montazowa/465-mm/,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,1,1
https://jacando.com/en-US/hr-lexikon/eat-the-frog-methode/,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
https://vi.wikiquote.org/wiki/%C4%90%E1%BA%B7c_bi%E1%BB%87t:Ti%E1%BB%81n_t%E1%BB%91/B%E1%BA%A3n_m%E1%BA%ABu:Rp/,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
https://asahiya-beer.com/item/626/,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
https://gununmanseti.com/bektas-guler-motosiklet-askini-klibine-tasidi-2198.html,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
https://app.realestatefinancialplanner.com/model/NV/Reno/nomad-real-estate-license/?se=1&ia=N,1,-1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1
https://aquaticplantmanagement.com/collections/kasco-j-series-fountains,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1
