id,timestamp,open_rank_domain,page_rank_integer,page_rank_decimal,website_url,having_ip_address,url_length,shortining_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,sslfinal_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,rightclick,popupwindow,iframe,age_of_domain,dnsrecord,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,result
8a5977b5-e84d-475f-8c5a-db8ae5d1546f,2024-11-19T08:08:24.034657,geminiloxin.gitbook.io,3,2.5,https://geminiloxin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
2516842d-ecc4-4fad-8cef-58ea297b5ce7,2024-11-19T08:08:35.718494,geminiluzi.gitbook.io,3,2.5,https://geminiluzi.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
4bb3fc38-8ae4-433f-bbf5-6c80b717a0be,2024-11-19T08:08:49.759206,geminloggins.gitbook.io,3,2.73,https://geminloggins.gitbook.io/us,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
780d5421-f4c3-4ab4-8192-7d56b557f50d,2024-11-19T08:09:01.425168,geminlonnin.gitbook.io,0,0,https://geminlonnin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
a8a2f724-f226-4597-a087-2cbc3b3b1f54,2024-11-19T08:09:15.781038,geminnlginn.gitbook.io,2,1.56,https://geminnlginn.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
845fd284-6b09-44ee-a254-271c9f637537,2024-11-19T08:09:28.069954,geminnloggnuse.gitbook.io,0,0,https://geminnloggnuse.gitbook.io/untitled,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
6233320f-6fcd-41d3-88fe-106f174ae1a8,2024-11-19T08:09:40.530744,gemioginfunn.gitbook.io,2,2.46,https://gemioginfunn.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
69d01945-fe93-403d-b0f7-8ca6dd847196,2024-11-19T08:09:53.982301,gemminieeloti.gitbook.io,0,0,https://gemminieeloti.gitbook.io/usa,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
2a530d45-beca-45cd-b7d2-2f708ebb91be,2024-11-19T08:10:07.003809,gemneelogzen.gitbook.io,2,2.13,https://gemneelogzen.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
86e15f35-605a-4b90-8433-ead5b3db65e0,2024-11-19T08:10:19.365654,gemnialog.gitbook.io,3,2.73,https://gemnialog.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
