page_rank_decimal,shortining_service,favicon,request_url,url_of_anchor,links_in_tags,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,sim_lev,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
8.81,1,-1,0,-1,0,-1,1,1,-1,0,1.0,0,1,1,4,-1
0.0,1,1,0,-1,0,1,-1,-1,-1,0,0.0,71,1,0,15,-1
2.83,1,-1,-1,1,-1,-1,0,1,-1,1,0.5,40,1,1,3,1
7.29,-1,1,-1,0,-1,-1,1,1,-1,1,0.5714285714285714,40,0,1,0,-1
1.83,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,13,-1
8.64,-1,-1,-1,-1,-1,1,1,1,-1,1,0.7142857142857143,40,0,1,0,-1
2.27,1,1,0,1,0,-1,0,1,1,1,0.5,41,1,1,3,1
4.78,1,1,-1,1,0,1,0,1,-1,-1,0.5714285714285714,57,1,1,1,-1
2.13,1,-1,1,1,1,1,0,1,-1,0,0.5,53,1,-1,19,-1
0.0,1,1,0,1,0,1,-1,-1,-1,-1,0.5,40,1,-1,31,-1
8.64,-1,-1,-1,-1,-1,1,1,1,-1,1,0.7142857142857143,40,0,1,0,-1
0.0,1,1,-1,1,-1,1,0,-1,-1,-1,0.6,40,1,1,3,1
0.0,1,-1,-1,-1,-1,1,-1,-1,-1,1,0.6666666666666666,46,1,0,15,-1
1.81,1,1,1,1,1,-1,0,1,-1,-1,0.6666666666666666,38,0,1,0,1
1.87,1,1,1,1,1,1,0,1,-1,0,0.5,53,1,-1,22,-1
0.14,1,1,1,1,1,1,0,-1,1,0,0.7142857142857143,35,0,1,0,1
3.38,1,1,0,1,0,-1,0,1,1,1,0.42857142857142855,40,0,1,0,1
3.74,1,1,0,-1,0,1,0,1,1,0,0.8,33,1,1,1,-1
3.57,1,1,1,-1,-1,1,0,1,1,1,0.7142857142857143,57,1,1,7,1
2.24,1,1,1,1,1,1,0,1,1,-1,0.5,42,1,1,3,1
0.0,1,1,1,1,0,1,0,-1,-1,1,0.5,48,1,1,2,1
3.1,1,1,0,1,0,-1,0,1,1,0,0.6666666666666666,38,0,1,0,1
2.78,1,-1,1,0,1,1,0,1,1,0,0.5,53,1,0,15,-1
3.34,1,1,1,1,1,1,0,1,1,1,0.4,53,0,1,0,1
3.56,1,1,0,1,0,-1,0,1,1,1,0.6,34,0,1,0,1
3.78,1,1,0,1,0,-1,0,1,1,1,0.6666666666666666,40,0,1,0,1
0.0,1,-1,-1,1,-1,-1,0,-1,-1,1,0.6,42,1,1,3,1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,0,15,-1
3.21,1,1,1,1,1,1,0,1,1,1,0.7142857142857143,38,1,1,3,1
0.78,1,1,1,0,1,1,0,1,1,1,0.4,32,0,1,0,1
6.83,1,-1,0,1,-1,1,1,1,-1,0,0.5,46,1,1,4,1
1.43,1,1,1,1,1,1,0,1,-1,-1,0.5,38,0,1,0,1
3.26,1,1,1,1,1,1,0,1,1,1,0.6,42,0,1,0,1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.5,53,1,0,14,-1
4.85,1,1,0,1,0,-1,0,1,1,1,0.6,44,1,1,3,1
0.0,1,1,-1,0,-1,-1,-1,-1,-1,0,0.25,60,1,0,9,-1
2.73,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,12,-1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.6666666666666666,29,0,1,0,-1
2.73,1,-1,1,1,1,1,0,1,-1,0,0.5,53,1,-1,17,-1
3.25,1,1,1,1,1,1,0,1,1,1,0.6,38,1,1,3,1
0.0,1,1,-1,1,0,-1,-1,-1,-1,-1,0.25,60,1,0,12,-1
2.7,1,1,1,1,1,1,0,1,1,1,0.42857142857142855,43,1,1,3,1
0.0,1,1,1,-1,0,1,-1,-1,-1,1,0.5555555555555556,46,1,0,8,-1
4.97,1,1,-1,1,0,-1,0,1,1,1,0.5,47,0,1,0,1
0.0,1,-1,-1,-1,-1,1,-1,-1,1,1,0.5,25,1,-1,36,-1
0.0,1,-1,0,1,0,1,-1,-1,-1,-1,0.42857142857142855,47,0,1,0,-1
4.84,1,1,0,1,0,-1,0,1,1,1,0.6,40,1,1,3,1
1.41,1,1,1,1,1,1,0,1,-1,-1,0.625,40,0,1,0,-1
1.36,1,1,0,1,0,-1,0,1,-1,1,0.7142857142857143,43,1,1,3,1
0.0,1,1,-1,1,0,-1,-1,-1,-1,-1,0.25,60,1,-1,20,-1
8.81,1,-1,-1,1,0,1,1,1,-1,-1,1.0,0,1,1,4,-1
1.91,1,1,1,1,1,1,0,1,1,0,0.3333333333333333,48,1,1,7,1
0.0,1,-1,-1,-1,0,1,-1,-1,-1,1,0.6,40,1,1,7,-1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.7142857142857143,25,0,1,0,-1
0.88,1,1,1,1,1,-1,0,1,1,-1,0.5,31,0,1,0,1
0.0,1,-1,1,1,1,1,-1,-1,-1,1,0.5,53,1,0,14,-1
2.33,1,-1,-1,1,-1,-1,0,1,1,1,0.6,33,1,1,3,1
3.89,1,1,-1,0,0,1,0,1,-1,1,0.6,46,1,0,8,1
2.5,1,-1,1,1,1,1,0,1,-1,0,0.4,53,1,-1,17,-1
2.2,1,1,-1,0,0,-1,0,1,1,1,0.6,40,1,1,3,1
5.5,1,1,0,1,0,-1,1,1,-1,0,0.7142857142857143,38,1,1,3,1
1.15,1,1,1,1,1,1,0,1,1,-1,0.5,32,1,1,3,1
1.63,1,1,1,1,1,-1,0,1,1,1,0.7142857142857143,50,1,1,3,1
2.48,1,1,1,1,1,1,0,1,-1,-1,0.5,38,0,1,0,-1
2.88,1,1,1,1,1,-1,0,1,-1,1,0.7142857142857143,36,1,1,3,1
2.14,1,-1,1,1,1,1,0,1,-1,0,0.4,55,1,0,12,-1
8.81,1,-1,-1,1,0,1,1,1,-1,-1,1.0,0,1,1,4,-1
2.5,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,14,-1
1.79,1,1,1,1,1,-1,0,1,-1,1,0.5,36,1,1,3,1
0.0,1,-1,0,1,0,1,0,-1,-1,-1,0.8888888888888888,40,1,1,1,1
3.62,1,1,-1,1,0,-1,0,1,1,1,0.42857142857142855,44,1,1,3,1
2.33,1,1,1,1,1,1,0,1,1,0,0.6666666666666666,46,0,1,0,1
1.9,1,1,1,-1,1,1,0,1,-1,1,0.7142857142857143,55,1,1,3,1
0.5,1,1,1,1,0,-1,0,1,1,1,0.7142857142857143,47,0,1,0,1
4.88,1,1,0,1,0,-1,0,1,1,1,0.6,50,1,1,3,1
2.04,1,1,0,1,0,-1,0,1,1,1,0.5714285714285714,44,0,1,0,1
1.49,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,13,-1
0.0,1,-1,0,1,0,1,-1,-1,-1,-1,0.25,47,1,-1,19,-1
3.3,1,-1,-1,1,-1,-1,0,1,1,0,0.4,44,1,1,3,1
0.0,1,1,1,0,1,-1,-1,-1,-1,1,0.5,53,1,0,14,-1
4.81,1,1,1,1,1,1,0,1,1,1,0.5,46,1,0,10,1
2.13,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,12,-1
5.49,1,1,0,1,0,-1,1,1,1,1,0.6666666666666666,46,1,1,3,1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.75,25,0,1,0,-1
0.0,1,-1,-1,1,-1,1,-1,-1,-1,-1,0.6,25,1,-1,36,-1
2.13,1,1,1,0,1,1,0,1,-1,0,0.5,53,1,0,13,-1
7.92,-1,1,0,1,0,1,1,1,-1,-1,0.6666666666666666,43,0,1,0,-1
4.81,1,1,1,1,0,1,0,1,1,0,0.5,47,0,1,0,1
0.0,1,-1,-1,1,-1,1,-1,-1,-1,-1,0.4,25,1,-1,36,-1
4.69,1,1,0,1,0,-1,0,1,1,1,0.6,43,1,1,3,1
6.77,1,1,1,1,1,1,1,1,-1,-1,0.5,55,0,1,0,-1
0.0,1,1,1,1,1,-1,-1,-1,-1,-1,0.8,50,0,1,0,-1
1.81,1,1,1,1,1,1,0,1,-1,0,0.4,53,1,0,15,-1
4.19,1,1,0,0,0,-1,0,1,-1,1,0.8333333333333334,25,0,1,0,1
1.78,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,15,-1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,0,14,-1
0.0,1,1,0,1,1,-1,0,-1,-1,1,0.6,42,1,1,3,1
2.73,1,-1,1,1,1,1,0,1,-1,0,0.5,53,1,0,15,-1
0.0,1,1,0,1,0,-1,0,-1,-1,-1,0.6666666666666666,29,1,1,3,1
5.56,1,1,-1,1,-1,1,1,1,1,-1,0.7142857142857143,36,0,1,0,-1
0.0,1,1,0,-1,0,-1,-1,-1,-1,1,0.6,46,1,0,9,-1
