page_rank_decimal,sim_lev,sim_fuzz,num_of_subdomains,len_of_subdomains,prefix_suffix_1,having_sub_domain_1,domain_registration_length_1,favicon_1,request_url_0,url_of_anchor_1,links_in_tags_0,sfh_1,submitting_to_email_1,iframe_1,dnsrecord_1,web_traffic_0,web_traffic_1,google_index_1,fuzzy_0,len_sub_0,result
1.4486595044125596,0.16529607286864684,0.14772155905174686,0.5403782840539492,-0.0737506050956931,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
-0.2746615804521663,0.7585941230932006,0.14772155905174686,-1.408621160292978,-0.8082674631137353,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1
-0.9908469663699746,-1.8370848466392222,1.2955082073306048,0.5403782840539492,2.5495238878258863,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1
-0.9908469663699746,0.7585941230932006,-0.09823272272229412,0.5403782840539492,0.031180374621170084,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1
3.4853116956163266,2.8351372988791392,-3.623577428150215,0.5403782840539492,-0.49347452396314584,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1
-0.9908469663699746,-1.8370848466392222,0.22970631964309385,0.5403782840539492,0.9755591920729388,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1
-0.9908469663699746,-1.8370848466392222,1.2955082073306048,0.5403782840539492,0.6607662529223491,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
-0.9908469663699746,0.34328548793601305,-1.246019371001152,-1.408621160292978,-0.8082674631137353,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1
-0.9908469663699746,-0.27967746479976835,-0.6721260468617231,0.5403782840539492,-0.3885435442462826,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.095042970115642,1.7968657109861703,-1.819912695140581,-1.408621160292978,-0.8082674631137353,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1
1.7038005481457787,0.34328548793601305,1.0495539255565638,0.5403782840539492,-0.49347452396314584,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
0.07447879518276511,-0.27967746479976835,0.47566060141713484,0.5403782840539492,0.13611135433803326,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
2.272272698218039,0.16529607286864684,-0.3441870044963351,0.5403782840539492,-0.49347452396314584,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1
-0.9908469663699746,-0.27967746479976835,0.7216148831911758,0.5403782840539492,0.555835273205486,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
-0.9908469663699746,-0.27967746479976835,0.7216148831911758,0.5403782840539492,0.555835273205486,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
-0.9908469663699746,-0.27967746479976835,-0.09823272272229412,0.5403782840539492,0.13611135433803326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
-0.9908469663699746,-0.9026404175355498,0.14772155905174686,0.5403782840539492,-0.28361256452941946,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
-0.23437615249428967,-0.9026404175355498,-0.09823272272229412,0.5403782840539492,0.13611135433803326,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
-0.9908469663699746,-0.27967746479976835,0.7216148831911758,0.5403782840539492,0.555835273205486,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
0.31171520426803917,-0.27967746479976835,-0.3441870044963351,0.5403782840539492,-0.17868158481255628,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
-0.7670390332706595,-0.27967746479976835,-0.6721260468617231,-1.408621160292978,-0.8082674631137353,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1
0.3475244735639296,0.16529607286864684,-0.09823272272229412,0.5403782840539492,-0.28361256452941946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
-0.9908469663699746,-0.27967746479976835,0.6396301225998289,2.4893777284008762,2.8643168269764763,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1
-0.31942316707202933,0.06641306449788821,0.06573679846039987,0.5403782840539492,-0.49347452396314584,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
0.5444754546913269,-0.9026404175355498,0.47566060141713484,2.4893777284008762,0.24104233405489645,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.43257148814166935,-0.9026404175355498,0.47566060141713484,0.5403782840539492,-0.49347452396314584,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
1.4978972496944087,1.0552431482054778,-0.6721260468617231,-1.408621160292978,-0.8082674631137353,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1
0.10581190581666934,-0.27967746479976835,0.7216148831911758,0.5403782840539492,0.8706282123560757,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-1
1.305422427228998,1.5892113934075767,-1.57395841336654,-1.408621160292978,-0.8082674631137353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1
1.524754201666327,0.7585941230932006,-0.3441870044963351,-1.408621160292978,-0.8082674631137353,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1
0.24904898300023093,-0.27967746479976835,-1.000065089227111,-1.408621160292978,-0.8082674631137353,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
0.27590593497214877,1.0552431482054778,-0.3441870044963351,0.5403782840539492,-0.49347452396314584,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
-0.019520536718947202,-0.27967746479976835,-0.6721260468617231,-1.408621160292978,-0.8082674631137353,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
0.6295224692690665,-0.27967746479976835,1.8694015314700336,0.5403782840539492,-0.49347452396314584,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
-0.9908469663699746,-0.27967746479976835,0.7216148831911758,0.5403782840539492,0.3459733137717596,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1
1.5784681056101626,0.49902622611995856,-0.3441870044963351,0.5403782840539492,-0.49347452396314584,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1
